"FID_";"FID_Lines_";"EXIF_GPSIm";"EXIF_GPS_6";"PhotoName";"Lat";"Long_";"Lat2";"Long2";"x2";"y2"
;0;255,899993;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5363.JPG";-73,598681;45,471490;-73,600861;45,471104;483,945205;851,745758
;1;344,700012;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5364.JPG";-73,598681;45,471490;-73,598854;45,471934;640,905595;944,016460
;2;81,699996;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5365.JPG";-73,598681;45,471490;-73,597638;45,471597;736,039029;906,502722
;3;103,800003;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5366.JPG";-73,598681;45,471490;-73,597860;45,471348;718,666957;878,818969
;4;121,500000;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5367.JPG";-73,598681;45,471490;-73,598030;45,471209;705,336070;863,402955
;5;140,100006;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5368.JPG";-73,598681;45,471490;-73,598193;45,471079;692,612985;848,935623
;6;160,600006;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5369.JPG";-73,598681;45,471490;-73,598403;45,470933;676,213461;832,759791
;7;178,699996;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5370.JPG";-73,598681;45,471490;-73,598658;45,470756;656,290580;813,108831
;8;199,800003;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5371.JPG";-73,598681;45,471490;-73,599206;45,470463;613,391433;780,551844
;9;219,500000;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5372.JPG";-73,598681;45,471490;-73,600289;45,470117;528,737822;742,074098
;10;241,800003;350,000000;"C:\Users\JS Mills\Dropbox\Turcot\Photos\Bulles\Buble 3 raw1\DSC_5373.JPG";-73,598681;45,471490;-73,602233;45,470149;376,692467;745,629338
